algorithm_name,env_n,size,best_solution,H,states,time
SA,9,4,"[2, 0, 3, 1]",0,56,0.000815
SA,10,4,"[1, 3, 0, 2]",0,83,0.000958
SA,11,4,"[1, 3, 0, 2]",0,110,0.001260
SA,12,4,"[2, 0, 3, 1]",0,48,0.000572
SA,13,4,"[2, 0, 3, 1]",0,8,0.000134
SA,14,4,"[2, 0, 3, 1]",0,18,0.000240
SA,15,4,"[1, 3, 0, 2]",0,81,0.000936
SA,16,4,"[2, 0, 3, 1]",0,71,0.000815
SA,17,4,"[1, 3, 0, 2]",0,26,0.000344
SA,18,4,"[1, 3, 0, 2]",0,65,0.000768
SA,19,4,"[1, 3, 0, 2]",0,57,0.001053
SA,20,4,"[1, 3, 0, 2]",0,1,0.000049
SA,21,4,"[1, 3, 0, 2]",0,2,0.000074
SA,22,4,"[1, 3, 0, 2]",0,98,0.001052
SA,23,4,"[2, 0, 3, 1]",0,15,0.000227
SA,24,4,"[1, 3, 0, 2]",0,70,0.000749
SA,25,4,"[2, 0, 3, 1]",0,21,0.000251
SA,26,4,"[1, 3, 0, 2]",0,42,0.000465
SA,27,4,"[1, 3, 0, 2]",0,71,0.000763
SA,28,4,"[1, 3, 0, 2]",0,17,0.000229
SA,29,4,"[1, 3, 0, 2]",0,53,0.000572
SA,30,4,"[1, 3, 0, 2]",0,87,0.000944
SA,1,8,"[0, 2, 5, 1, 4, 7, 0, 6]",2,153,0.002426
SA,2,8,"[7, 1, 6, 0, 2, 4, 7, 3]",1,153,0.002336
SA,3,8,"[5, 3, 0, 4, 7, 1, 6, 2]",0,122,0.001879
SA,4,8,"[2, 5, 3, 1, 7, 4, 6, 0]",0,110,0.001693
SA,5,8,"[1, 5, 0, 6, 3, 7, 2, 4]",0,123,0.001864
SA,6,8,"[3, 5, 0, 2, 4, 6, 1, 7]",1,153,0.002622
SA,7,8,"[2, 6, 6, 3, 0, 4, 7, 5]",1,153,0.002303
SA,8,8,"[3, 5, 2, 4, 1, 7, 2, 6]",1,153,0.002347
SA,9,8,"[5, 2, 0, 6, 3, 7, 4, 1]",1,153,0.002925
SA,10,8,"[3, 0, 4, 1, 1, 6, 2, 7]",1,153,0.002410
